FRS_FACILITY_DETAIL_REPORT_URL,REGISTRY_ID,PRIMARY_NAME,LOCATION_ADDRESS,SUPPLEMENTAL_LOCATION,CITY_NAME,COUNTY_NAME,FIPS_CODE,STATE_CODE,STATE_NAME,COUNTRY_NAME,POSTAL_CODE,FEDERAL_FACILITY_CODE,FEDERAL_AGENCY_NAME,TRIBAL_LAND_CODE,TRIBAL_LAND_NAME,CONGRESSIONAL_DIST_NUM,CENSUS_BLOCK_CODE,HUC_CODE,EPA_REGION_CODE,SITE_TYPE_NAME,LOCATION_DESCRIPTION,CREATE_DATE,UPDATE_DATE,US_MEXICO_BORDER_IND,PGM_SYS_ACRNMS,INTEREST_TYPES,NAICS_CODES,NAICS_CODE_DESCRIPTIONS,SIC_CODES,SIC_CODE_DESCRIPTIONS,CONVEYOR,COLLECT_DESC,REF_POINT_DESC,SOURCE_DESC,lat,long,id,input_address,match_indicator,match_type,matched_address,tiger_line_id,tiger_side
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110071067741,110000000000,VALMONT CITY PARK,5325 VALMONT ROAD,NA,5325 VALMONT RD,BOULDER,CO013,CO,COLORADO,USA,80301,NA,NA,NA,NA,2,80100000000000,10190005,8,STATIONARY,NA,9-Jul-21,NA,NA,NPDES:COR412550,ICIS-NPDES NON-MAJOR,NA,NA,9199,"GENERAL GOVERNMENT, NOT ELSEWHERE CLASSIFIED",ICIS,GPS - UNSPECIFIED,CENTER OF A FACILITY OR STATION,NA,40.02924,-105.22933,1,"5325 VALMONT ROAD, 5325 VALMONT RD, COLORADO, 80301",Match,Non_Exact,"5325 VALMONT RD, BOULDER, CO, 80301",220750917,L
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070117016,110000000000,CAMP ST MALO,10758 CO HWY 7,NA,ALLENSPARK,BOULDER,CO013,CO,COLORADO,USA,80510,NA,NA,NA,NA,2,80100000000000,10190005,8,STATIONARY,NA,10-Oct-17,NA,NA,NPDES:COR03R854,ICIS-NPDES NON-MAJOR,NA,NA,1623,"WATER, SEWER, PIPELINE, AND COMMUNICATIONS AND POWER LINE CONSTRUCTION",ICIS,NA,NA,NA,40.243004,-105.53403,2,"10758 CO HWY 7, ALLENSPARK, COLORADO, 80510",Match,Non_Exact,"10758 STATE HWY 7, ALLENSPARK, CO, 80510",638127167,R
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069333527,110000000000,ER 007A 022,HWY 7 FROM ESTES PARK TO HWY 72,NA,ALLENSPARK,BOULDER,CO013,CO,COLORADO,USA,80510,NA,NA,NA,NA,2,80100000000000,10190005,8,STATIONARY,NA,5-Jul-16,3-Sep-16,NA,"NPDES:COR03P672, NPDES:COR400802",ICIS-NPDES NON-MAJOR,NA,NA,"1611, 1629","HEAVY CONSTRUCTION, NOT ELSEWHERE CLASSIFIED, HIGHWAY AND STREET CONSTRUCTION, EXCEPT ELEVATED HIGHWAYS",ICIS,GPS - UNSPECIFIED,CENTER OF A FACILITY OR STATION,NA,NA,NA,3,"HWY 7 FROM ESTES PARK TO HWY 72, ALLENSPARK, COLORADO, 80510",No_Match,NA,NA,NA,NA
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110002375956,110000000000,FERNCLIFF STORE & SERVICE,23 MAIN STREET,NA,ALLENSPARK,BOULDER,8013,CO,COLORADO,UNITED STATES,80510,NA,NA,NA,NA,2,80100000000000,10190005,8,STATIONARY,NA,1-Mar-00,1-Jun-17,NA,"AIR:CO0000000801301234, AIRS/AFS:0801301234, EIS:2070511",AIR MINOR,447110,GASOLINE STATIONS WITH CONVENIENCE STORES.,5541,GASOLINE SERVICE STATIONS,NEI,INTERPOLATION-MAP,OTHER,NA,NA,NA,4,"23 MAIN STREET, ALLENSPARK, COLORADO, 80510",No_Match,NA,NA,NA,NA
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110037261183,110000000000,HIGHLANDS PRESBYTERIAN CAMP,1306 BUSINESS ROUTE HIGHWAY 7,NA,ALLENSPARK,BOULDER,8013,CO,COLORADO,UNITED STATES,80510,NA,NA,NA,NA,2,80100000000000,10190005,8,STATIONARY,NA,23-Nov-08,11-Jan-16,NA,"NPDES:COG641140, NPDES:COX046108",ICIS-NPDES NON-MAJOR,NA,NA,"1629, 4952","HEAVY CONSTRUCTION, NOT ELSEWHERE CLASSIFIED, SEWERAGE SYSTEMS",ICIS,GPS - UNSPECIFIED,NA,NA,NA,NA,5,"1306 BUSINESS ROUTE HIGHWAY 7, ALLENSPARK, COLORADO, 80510",No_Match,NA,NA,NA,NA
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110038448864,110000000000,HIGHLANDS PRESBYTERIAN CAMP,1305 HWY 7 BUSINESS RT,NA,ALLENSPARK,BOULDER,CO013,CO,COLORADO,NA,80510,NA,NA,NA,NA,2,80100000000000,10190005,8,STATIONARY,NA,27-May-09,11-Jan-16,NA,NPDES:COX631008,ICIS-NPDES NON-MAJOR,NA,NA,4952,SEWERAGE SYSTEMS,ICIS,GPS - UNSPECIFIED,NA,NA,NA,NA,6,"1305 HWY 7 BUSINESS RT, ALLENSPARK, COLORADO, 80510",No_Match,NA,NA,NA,NA
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069475623,110000000000,SH 7 FROM ESTES PARK TO SH 72  ER 007A-022,SH7 MP 6.3 TO 19.25,NA,ALLENSPARK,BOULDER,CO013,CO,COLORADO,NA,80510,NA,NA,NA,NA,2,80100000000000,10190005,8,STATIONARY,NA,3-Sep-16,NA,NA,NPDES:COG075589,ICIS-NPDES NON-MAJOR,NA,NA,1799,"SPECIAL TRADE CONTRACTORS, NOT ELSEWHERE CLASSIFIED",ICIS,NA,NA,NA,NA,NA,7,"SH7 MP 6.3 TO 19.25, ALLENSPARK, COLORADO, 80510",No_Match,NA,NA,NA,NA
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110038448926,110000000000,ST. MALO RETREAT CENTER,10758 HIGHWAY 7,NA,ALLENSPARK,BOULDER,8013,CO,COLORADO,UNITED STATES,80510,NA,NA,NA,NA,2,80100000000000,10190005,8,STATIONARY,NA,27-May-09,11-Jan-16,NA,NPDES:COX632005,ICIS-NPDES NON-MAJOR,NA,NA,4952,SEWERAGE SYSTEMS,NPDES,GPS - UNSPECIFIED,NA,NA,40.243004,-105.53403,8,"10758 HIGHWAY 7, ALLENSPARK, COLORADO, 80510",Match,Non_Exact,"10758 STATE HWY 7, ALLENSPARK, CO, 80510",638127167,R
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070672718,110000000000,SUNSET LAKE DAM RECONSTRUCTION,392 HICKORY DR.,NA,ALLENSPARK,BOULDER,CO013,CO,COLORADO,USA,80510,NA,NA,NA,NA,2,80100000000000,10190006,8,STATIONARY,NA,6-Jan-20,NA,NA,"NPDES:COG076843, NPDES:COR407214",ICIS-NPDES NON-MAJOR,NA,NA,1629,"HEAVY CONSTRUCTION, NOT ELSEWHERE CLASSIFIED",ICIS,GPS - UNSPECIFIED,CENTER OF A FACILITY OR STATION,NA,NA,NA,9,"392 HICKORY DR., ALLENSPARK, COLORADO, 80510",No_Match,NA,NA,NA,NA
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069996984,110000000000,1005 14 ST,14 ST AND EUCLID,NA,BOULDER,BOULDER,CO013,CO,COLORADO,NA,80302,NA,NA,NA,NA,2,80100000000000,10190005,8,STATIONARY,NA,7-Dec-16,NA,NA,NPDES:COG075670,ICIS-NPDES NON-MAJOR,NA,NA,1799,"SPECIAL TRADE CONTRACTORS, NOT ELSEWHERE CLASSIFIED",ICIS,GPS - UNSPECIFIED,CENTER OF A FACILITY OR STATION,NA,NA,NA,10,"14 ST AND EUCLID, BOULDER, COLORADO, 80302",No_Match,NA,NA,NA,NA
