GEOID,NAME,traffic_stops
08001007801,"Census Tract 78.01, Adams County, Colorado",3108
08001007802,"Census Tract 78.02, Adams County, Colorado",1459
08001007900,"Census Tract 79, Adams County, Colorado",1304
08001008000,"Census Tract 80, Adams County, Colorado",1186
08001008100,"Census Tract 81, Adams County, Colorado",1901
08001008200,"Census Tract 82, Adams County, Colorado",3359
08001008308,"Census Tract 83.08, Adams County, Colorado",895
08001008309,"Census Tract 83.09, Adams County, Colorado",8803
08001008353,"Census Tract 83.53, Adams County, Colorado",447
08001008401,"Census Tract 84.01, Adams County, Colorado",1
08001008523,"Census Tract 85.23, Adams County, Colorado",1
08001988700,"Census Tract 9887, Adams County, Colorado",25
08005005612,"Census Tract 56.12, Arapahoe County, Colorado",1
08005005628,"Census Tract 56.28, Arapahoe County, Colorado",1
08005005800,"Census Tract 58, Arapahoe County, Colorado",1
08005005951,"Census Tract 59.51, Arapahoe County, Colorado",1
08005006711,"Census Tract 67.11, Arapahoe County, Colorado",1
08005006712,"Census Tract 67.12, Arapahoe County, Colorado",2
08005006854,"Census Tract 68.54, Arapahoe County, Colorado",121
08005006855,"Census Tract 68.55, Arapahoe County, Colorado",14
08005006856,"Census Tract 68.56, Arapahoe County, Colorado",122
08005007104,"Census Tract 71.04, Arapahoe County, Colorado",7166
08005007105,"Census Tract 71.05, Arapahoe County, Colorado",698
08005007106,"Census Tract 71.06, Arapahoe County, Colorado",272
08005007107,"Census Tract 71.07, Arapahoe County, Colorado",952
08005007201,"Census Tract 72.01, Arapahoe County, Colorado",2195
08005007202,"Census Tract 72.02, Arapahoe County, Colorado",1168
08005007301,"Census Tract 73.01, Arapahoe County, Colorado",1316
08005007302,"Census Tract 73.02, Arapahoe County, Colorado",5446
08005007400,"Census Tract 74, Arapahoe County, Colorado",1293
08005007500,"Census Tract 75, Arapahoe County, Colorado",510
08005007600,"Census Tract 76, Arapahoe County, Colorado",1038
08005007702,"Census Tract 77.02, Arapahoe County, Colorado",1922
08005007703,"Census Tract 77.03, Arapahoe County, Colorado",1002
08005007704,"Census Tract 77.04, Arapahoe County, Colorado",307
08005080000,"Census Tract 800, Arapahoe County, Colorado",1572
08005080100,"Census Tract 801, Arapahoe County, Colorado",1324
08005080200,"Census Tract 802, Arapahoe County, Colorado",2542
08005080300,"Census Tract 803, Arapahoe County, Colorado",1410
08005080400,"Census Tract 804, Arapahoe County, Colorado",1111
08005080500,"Census Tract 805, Arapahoe County, Colorado",1018
08005080600,"Census Tract 806, Arapahoe County, Colorado",401
08005080700,"Census Tract 807, Arapahoe County, Colorado",943
08005080800,"Census Tract 808, Arapahoe County, Colorado",734
08005080900,"Census Tract 809, Arapahoe County, Colorado",3249
08005081000,"Census Tract 810, Arapahoe County, Colorado",4286
08005081100,"Census Tract 811, Arapahoe County, Colorado",3895
08005081200,"Census Tract 812, Arapahoe County, Colorado",598
08005081300,"Census Tract 813, Arapahoe County, Colorado",3569
08005081400,"Census Tract 814, Arapahoe County, Colorado",2323
08005081500,"Census Tract 815, Arapahoe County, Colorado",3189
08005081600,"Census Tract 816, Arapahoe County, Colorado",2084
08005081700,"Census Tract 817, Arapahoe County, Colorado",389
08005081800,"Census Tract 818, Arapahoe County, Colorado",5590
08005081900,"Census Tract 819, Arapahoe County, Colorado",3641
08005082000,"Census Tract 820, Arapahoe County, Colorado",3252
08005082100,"Census Tract 821, Arapahoe County, Colorado",2796
08005082200,"Census Tract 822, Arapahoe County, Colorado",2216
08005082300,"Census Tract 823, Arapahoe County, Colorado",1511
08005082400,"Census Tract 824, Arapahoe County, Colorado",2295
08005082500,"Census Tract 825, Arapahoe County, Colorado",225
08005082600,"Census Tract 826, Arapahoe County, Colorado",2786
08005082700,"Census Tract 827, Arapahoe County, Colorado",698
08005082800,"Census Tract 828, Arapahoe County, Colorado",1604
08005082900,"Census Tract 829, Arapahoe County, Colorado",3011
08005083000,"Census Tract 830, Arapahoe County, Colorado",211
08005083100,"Census Tract 831, Arapahoe County, Colorado",1409
08005083200,"Census Tract 832, Arapahoe County, Colorado",146
08005083300,"Census Tract 833, Arapahoe County, Colorado",843
08005083400,"Census Tract 834, Arapahoe County, Colorado",455
08005083500,"Census Tract 835, Arapahoe County, Colorado",703
08005083600,"Census Tract 836, Arapahoe County, Colorado",6238
08005083700,"Census Tract 837, Arapahoe County, Colorado",134
08005083800,"Census Tract 838, Arapahoe County, Colorado",2676
08005083900,"Census Tract 839, Arapahoe County, Colorado",3919
08005084000,"Census Tract 840, Arapahoe County, Colorado",150
08005084100,"Census Tract 841, Arapahoe County, Colorado",1432
08005084200,"Census Tract 842, Arapahoe County, Colorado",627
08005084300,"Census Tract 843, Arapahoe County, Colorado",334
08005084400,"Census Tract 844, Arapahoe County, Colorado",154
08005084500,"Census Tract 845, Arapahoe County, Colorado",262
08005084600,"Census Tract 846, Arapahoe County, Colorado",1375
08005084700,"Census Tract 847, Arapahoe County, Colorado",1904
08005084800,"Census Tract 848, Arapahoe County, Colorado",30
08005084900,"Census Tract 849, Arapahoe County, Colorado",90
08005085000,"Census Tract 850, Arapahoe County, Colorado",114
08005085100,"Census Tract 851, Arapahoe County, Colorado",7
08005085200,"Census Tract 852, Arapahoe County, Colorado",86
08005085300,"Census Tract 853, Arapahoe County, Colorado",453
08005085400,"Census Tract 854, Arapahoe County, Colorado",8
08005085500,"Census Tract 855, Arapahoe County, Colorado",17
08005085600,"Census Tract 856, Arapahoe County, Colorado",6
08005085700,"Census Tract 857, Arapahoe County, Colorado",671
08005085800,"Census Tract 858, Arapahoe County, Colorado",512
08005085900,"Census Tract 859, Arapahoe County, Colorado",205
08005086000,"Census Tract 860, Arapahoe County, Colorado",29
08005086100,"Census Tract 861, Arapahoe County, Colorado",12
08005086300,"Census Tract 863, Arapahoe County, Colorado",191
08005086400,"Census Tract 864, Arapahoe County, Colorado",21
08005086500,"Census Tract 865, Arapahoe County, Colorado",1074
08005086600,"Census Tract 866, Arapahoe County, Colorado",426
08005086700,"Census Tract 867, Arapahoe County, Colorado",174
08005086800,"Census Tract 868, Arapahoe County, Colorado",23
08005086900,"Census Tract 869, Arapahoe County, Colorado",21
08005087000,"Census Tract 870, Arapahoe County, Colorado",900
08005087100,"Census Tract 871, Arapahoe County, Colorado",382
08005087200,"Census Tract 872, Arapahoe County, Colorado",4
08005087300,"Census Tract 873, Arapahoe County, Colorado",1
08013012607,"Census Tract 126.07, Boulder County, Colorado",1
08031001701,"Census Tract 17.01, Denver County, Colorado",3
08031002403,"Census Tract 24.03, Denver County, Colorado",1
08031002601,"Census Tract 26.01, Denver County, Colorado",1
08031002703,"Census Tract 27.03, Denver County, Colorado",3
08031002801,"Census Tract 28.01, Denver County, Colorado",3
08031002803,"Census Tract 28.03, Denver County, Colorado",2
08031002902,"Census Tract 29.02, Denver County, Colorado",1
08031003003,"Census Tract 30.03, Denver County, Colorado",6
08031003004,"Census Tract 30.04, Denver County, Colorado",3
08031003102,"Census Tract 31.02, Denver County, Colorado",3
08031003201,"Census Tract 32.01, Denver County, Colorado",9
08031003202,"Census Tract 32.02, Denver County, Colorado",3
08031003401,"Census Tract 34.01, Denver County, Colorado",8
08031003402,"Census Tract 34.02, Denver County, Colorado",1
08031004102,"Census Tract 41.02, Denver County, Colorado",2
08031004106,"Census Tract 41.06, Denver County, Colorado",195
08031004107,"Census Tract 41.07, Denver County, Colorado",26
08031004301,"Census Tract 43.01, Denver County, Colorado",2
08031004403,"Census Tract 44.03, Denver County, Colorado",35
08031004404,"Census Tract 44.04, Denver County, Colorado",15
08031004405,"Census Tract 44.05, Denver County, Colorado",63
08031006804,"Census Tract 68.04, Denver County, Colorado",1
08031006811,"Census Tract 68.11, Denver County, Colorado",1
08031006813,"Census Tract 68.13, Denver County, Colorado",30
08031006814,"Census Tract 68.14, Denver County, Colorado",6
08031007006,"Census Tract 70.06, Denver County, Colorado",164
08031007037,"Census Tract 70.37, Denver County, Colorado",613
08031007088,"Census Tract 70.88, Denver County, Colorado",1
08031007089,"Census Tract 70.89, Denver County, Colorado",3
08031008304,"Census Tract 83.04, Denver County, Colorado",2
08031008312,"Census Tract 83.12, Denver County, Colorado",15
08031008388,"Census Tract 83.88, Denver County, Colorado",4
08031008389,"Census Tract 83.89, Denver County, Colorado",4
08031008390,"Census Tract 83.90, Denver County, Colorado",4
08031008391,"Census Tract 83.91, Denver County, Colorado",1
08031980000,"Census Tract 9800, Denver County, Colorado",10
08035013901,"Census Tract 139.01, Douglas County, Colorado",381
08035013904,"Census Tract 139.04, Douglas County, Colorado",1
08035014007,"Census Tract 140.07, Douglas County, Colorado",1
