GEOID,NAME,traffic_stops
0880010,"ZCTA5 80010, Colorado",20176
0880011,"ZCTA5 80011, Colorado",36835
0880012,"ZCTA5 80012, Colorado",22681
0880013,"ZCTA5 80013, Colorado",12558
0880014,"ZCTA5 80014, Colorado",16634
0880015,"ZCTA5 80015, Colorado",9762
0880016,"ZCTA5 80016, Colorado",4154
0880017,"ZCTA5 80017, Colorado",15986
0880018,"ZCTA5 80018, Colorado",264
0880019,"ZCTA5 80019, Colorado",175
0880022,"ZCTA5 80022, Colorado",1
0880045,"ZCTA5 80045, Colorado",925
0880102,"ZCTA5 80102, Colorado",1
0880111,"ZCTA5 80111, Colorado",4
0880112,"ZCTA5 80112, Colorado",123
0880113,"ZCTA5 80113, Colorado",2
0880121,"ZCTA5 80121, Colorado",1
0880122,"ZCTA5 80122, Colorado",1
0880137,"ZCTA5 80137, Colorado",2
0880138,"ZCTA5 80138, Colorado",16
0880202,"ZCTA5 80202, Colorado",3
0880203,"ZCTA5 80203, Colorado",2
0880205,"ZCTA5 80205, Colorado",1
0880206,"ZCTA5 80206, Colorado",3
0880207,"ZCTA5 80207, Colorado",2
0880209,"ZCTA5 80209, Colorado",11
0880210,"ZCTA5 80210, Colorado",10
0880218,"ZCTA5 80218, Colorado",17
0880220,"ZCTA5 80220, Colorado",82
0880230,"ZCTA5 80230, Colorado",61
0880231,"ZCTA5 80231, Colorado",44
0880237,"ZCTA5 80237, Colorado",1
0880238,"ZCTA5 80238, Colorado",189
0880239,"ZCTA5 80239, Colorado",29
0880247,"ZCTA5 80247, Colorado",721
0880249,"ZCTA5 80249, Colorado",19
0880303,"ZCTA5 80303, Colorado",1
NA,NA,25
